Day,FeatureSet,Features,N_features,F1_mean,F1_median,BA_mean,BA_median,AUC_mean,AUC_median,F1_seed_20,BA_seed_20,F1_seed_17,BA_seed_17,F1_seed_75,BA_seed_75,F1_seed_27,BA_seed_27,F1_seed_33,BA_seed_33,CM_median_TN,CM_median_FP,CM_median_FN,CM_median_TP
30,all-12,Area_win_log;Feret_win;Circ._win;Solidity_win;AR_win;Complexity_win;GlucoseGlo_win_area_norm;GlutamateGlo_win_area_norm;LactateGlo_win_area_norm;PyruvateGlo_win_area_norm;MalateGlo_win_area_norm;BCAAGlo_win_area_norm,12,0.8787761454572183,0.8767123287671232,0.7739766081871344,0.7543859649122806,0.8111111111111111,0.8333333333333334,0.8857142857142857,0.8523391812865497,0.9014084507042254,0.8654970760233918,0.8533333333333334,0.6432748538011696,0.8767123287671232,0.7543859649122806,0.8767123287671232,0.7543859649122806,6,3,6,32
30,Morph-Area_Feret,Area_win_log;Feret_win,2,0.8716315711200622,0.8695652173913043,0.841812865497076,0.8362573099415205,0.923391812865497,0.953216374269006,0.8181818181818182,0.7997076023391813,0.918918918918919,0.8362573099415205,0.8529411764705882,0.8260233918128654,0.8985507246376812,0.9078947368421053,0.8695652173913043,0.8391812865497076,7,2,4,34
30,Morph-Area_Circ.,Area_win_log;Circ._win,2,0.8153326421418665,0.835820895522388,0.752046783625731,0.77046783625731,0.805263157894737,0.7923976608187135,0.71875,0.6359649122807017,0.8285714285714286,0.7149122807017544,0.8529411764705882,0.8260233918128654,0.835820895522388,0.8128654970760234,0.8405797101449275,0.77046783625731,7,2,9,29
30,Morph-Area_Solidity,Area_win_log;Solidity_win,2,0.8104473304473304,0.8181818181818182,0.7578947368421053,0.7836257309941521,0.7894736842105263,0.7923976608187135,0.7301587301587301,0.6915204678362573,0.8285714285714286,0.7149122807017544,0.8181818181818182,0.7997076023391813,0.8181818181818182,0.7997076023391813,0.8571428571428571,0.7836257309941521,7,2,8,30
30,Morph-Area_AR,Area_win_log;AR_win,2,0.7981497954100694,0.7878787878787878,0.7219298245614034,0.7309941520467836,0.764327485380117,0.7690058479532165,0.7301587301587301,0.6915204678362573,0.821917808219178,0.6169590643274854,0.7619047619047619,0.7602339181286549,0.7878787878787878,0.7309941520467836,0.8888888888888888,0.8099415204678362,7,2,12,26
30,Morph-Area_Complexity,Area_win_log;Complexity_win,2,0.8474164344027357,0.8571428571428571,0.7587719298245614,0.7836257309941521,0.7631578947368421,0.7631578947368421,0.7575757575757576,0.6622807017543859,0.8611111111111112,0.7412280701754386,0.8571428571428571,0.7836257309941521,0.9041095890410958,0.8230994152046784,0.8571428571428571,0.7836257309941521,7,2,8,30
30,Morph-Feret_Circ.,Feret_win;Circ._win,2,0.7248039522666389,0.7164179104477612,0.602046783625731,0.5804093567251463,0.6321637426900585,0.6140350877192983,0.6666666666666666,0.554093567251462,0.7076923076923077,0.5804093567251463,0.7164179104477612,0.5380116959064327,0.7272727272727273,0.5935672514619883,0.8059701492537313,0.7441520467836258,5,4,15,23
30,Morph-Feret_Solidity,Feret_win;Solidity_win,2,0.6351422236024168,0.6557377049180327,0.5160818713450293,0.554093567251462,0.5631578947368421,0.5526315789473685,0.6101694915254238,0.5701754385964912,0.5666666666666667,0.44590643274853803,0.6764705882352942,0.4137426900584795,0.6666666666666666,0.554093567251462,0.6557377049180327,0.5964912280701754,5,4,17,21
30,Morph-Feret_AR,Feret_win;AR_win,2,0.6118406376845579,0.6206896551724138,0.4833333333333334,0.4429824561403509,0.4409356725146199,0.43859649122807015,0.6206896551724138,0.6257309941520468,0.6461538461538462,0.4429824561403509,0.6060606060606061,0.3187134502923976,0.45614035087719296,0.33771929824561403,0.7301587301587301,0.6915204678362573,3,6,17,21
30,Morph-Feret_Complexity,Feret_win;Complexity_win,2,0.7670813113977986,0.75,0.5748538011695906,0.5511695906432749,0.5877192982456141,0.5877192982456141,0.7352941176470589,0.5511695906432749,0.8285714285714286,0.7149122807017544,0.6764705882352942,0.4137426900584795,0.75,0.46637426900584794,0.8450704225352113,0.7280701754385965,4,5,13,25
30,Morph-Circ._Solidity,Circ._win;Solidity_win,2,0.6981576712615426,0.6865671641791045,0.5190058479532164,0.5087719298245614,0.4228070175438596,0.4064327485380117,0.7428571428571429,0.5087719298245614,0.6461538461538462,0.4429824561403509,0.6865671641791045,0.4692982456140351,0.7945205479452054,0.5482456140350878,0.6206896551724138,0.6257309941520468,3,6,12,26
30,Morph-Circ._AR,Circ._win;AR_win,2,0.6134670379639084,0.6031746031746031,0.41345029239766085,0.40350877192982454,0.3771929824561403,0.38011695906432746,0.5806451612903226,0.40350877192982454,0.6031746031746031,0.41666666666666663,0.6461538461538462,0.4429824561403509,0.6567164179104478,0.40058479532163743,0.5806451612903226,0.40350877192982454,3,6,20,18
30,Morph-Circ._Complexity,Circ._win;Complexity_win,2,0.7317217707211401,0.7323943661971831,0.4728070175438597,0.45321637426900585,0.4807017543859649,0.4590643274853801,0.7714285714285715,0.577485380116959,0.7837837837837838,0.4926900584795322,0.7142857142857143,0.44005847953216376,0.7323943661971831,0.45321637426900585,0.6567164179104478,0.40058479532163743,2,7,12,26
30,Morph-Solidity_AR,Solidity_win;AR_win,2,0.6037528063334514,0.6129032258064516,0.3885964912280702,0.3742690058479532,0.3842105263157895,0.39766081871345027,0.6129032258064516,0.4722222222222222,0.6153846153846154,0.3742690058479532,0.6857142857142857,0.3713450292397661,0.5714285714285714,0.347953216374269,0.5333333333333333,0.3771929824561403,2,7,18,20
30,Morph-Solidity_Complexity,Solidity_win;Complexity_win,2,0.7213602620197561,0.7397260273972602,0.4845029239766082,0.4429824561403509,0.49298245614035097,0.48245614035087725,0.7647058823529411,0.6198830409356726,0.7605633802816901,0.5219298245614035,0.6956521739130435,0.4269005847953216,0.7397260273972602,0.4108187134502924,0.6461538461538462,0.4429824561403509,3,6,17,21
30,Morph-AR_Complexity,AR_win;Complexity_win,2,0.7191935771811331,0.7164179104477612,0.5014619883040936,0.5248538011695907,0.4432748538011696,0.43567251461988304,0.7164179104477612,0.5380116959064327,0.696969696969697,0.5248538011695907,0.6956521739130435,0.4269005847953216,0.7222222222222222,0.39766081871345027,0.7647058823529411,0.6198830409356726,4,5,15,23
30,Morph-Area_Feret_Circ.,Area_win_log;Feret_win;Circ._win,3,0.87732466211376,0.8695652173913043,0.8555555555555555,0.8391812865497076,0.9152046783625731,0.9590643274853801,0.8181818181818182,0.7997076023391813,0.918918918918919,0.8362573099415205,0.8656716417910447,0.881578947368421,0.9142857142857143,0.9210526315789473,0.8695652173913043,0.8391812865497076,8,1,8,30
30,Morph-Area_Feret_Solidity,Area_win_log;Feret_win;Solidity_win,3,0.8747785690496688,0.8695652173913043,0.8444444444444444,0.8362573099415205,0.9128654970760234,0.9502923976608186,0.8181818181818182,0.7997076023391813,0.918918918918919,0.8362573099415205,0.8529411764705882,0.8260233918128654,0.9142857142857143,0.9210526315789473,0.8695652173913043,0.8391812865497076,7,2,4,34
30,Morph-Area_Feret_AR,Area_win_log;Feret_win;AR_win,3,0.9308242627886809,0.9210526315789473,0.8833333333333332,0.8654970760233918,0.9339181286549707,0.9678362573099415,0.8857142857142857,0.8523391812865497,0.9210526315789473,0.7938596491228069,0.9459459459459459,0.9049707602339181,1.0,1.0,0.9014084507042254,0.8654970760233918,8,1,6,32
30,Morph-Area_Feret_Complexity,Area_win_log;Feret_win;Complexity_win,3,0.8914899604573516,0.9142857142857143,0.8771929824561404,0.9078947368421053,0.9163742690058481,0.9473684210526315,0.78125,0.7733918128654971,0.918918918918919,0.8362573099415205,0.9142857142857143,0.9210526315789473,0.9444444444444444,0.9473684210526316,0.8985507246376812,0.9078947368421053,9,0,7,31
30,Morph-Area_Circ._Solidity,Area_win_log;Circ._win;Solidity_win,3,0.8152223812585786,0.835820895522388,0.7520467836257311,0.7573099415204678,0.8070175438596492,0.7894736842105263,0.71875,0.6359649122807017,0.8450704225352113,0.7280701754385965,0.8529411764705882,0.8260233918128654,0.835820895522388,0.8128654970760234,0.8235294117647058,0.7573099415204678,7,2,10,28
30,Morph-Area_Circ._AR,Area_win_log;Circ._win;AR_win,3,0.8254063146997929,0.8405797101449275,0.7599415204678363,0.77046783625731,0.7906432748538013,0.7923976608187135,0.71875,0.6359649122807017,0.8285714285714286,0.7149122807017544,0.8695652173913043,0.8391812865497076,0.8695652173913043,0.8391812865497076,0.8405797101449275,0.77046783625731,7,2,9,29
30,Morph-Area_Circ._Complexity,Area_win_log;Circ._win;Complexity_win,3,0.8245459914931474,0.8529411764705882,0.7599415204678361,0.7967836257309941,0.7900584795321638,0.7923976608187135,0.6984126984126984,0.6228070175438596,0.8285714285714286,0.7149122807017544,0.8695652173913043,0.8391812865497076,0.8529411764705882,0.8260233918128654,0.8732394366197183,0.7967836257309941,7,2,7,31
30,Morph-Area_Solidity_AR,Area_win_log;Solidity_win;AR_win,3,0.8104077535642589,0.8529411764705882,0.7494152046783625,0.7836257309941521,0.7713450292397661,0.7748538011695907,0.6774193548387096,0.6096491228070176,0.8115942028985508,0.7017543859649122,0.8529411764705882,0.8260233918128654,0.8529411764705882,0.8260233918128654,0.8571428571428571,0.7836257309941521,7,2,8,30
30,Morph-Area_Solidity_Complexity,Area_win_log;Solidity_win;Complexity_win,3,0.8281593630940185,0.8611111111111112,0.7540935672514619,0.7573099415204678,0.7836257309941519,0.804093567251462,0.7096774193548387,0.6783625730994152,0.8611111111111112,0.7412280701754386,0.8235294117647058,0.7573099415204678,0.8732394366197183,0.7967836257309941,0.8732394366197183,0.7967836257309941,7,2,10,28
30,Morph-Area_AR_Complexity,Area_win_log;AR_win;Complexity_win,3,0.8412343820562999,0.8571428571428571,0.7450292397660819,0.7836257309941521,0.7473684210526316,0.7339181286549707,0.7384615384615385,0.6491228070175439,0.8493150684931506,0.685672514619883,0.8571428571428571,0.7836257309941521,0.9041095890410958,0.8230994152046784,0.8571428571428571,0.7836257309941521,7,2,8,30
30,Morph-Feret_Circ._Solidity,Feret_win;Circ._win;Solidity_win,3,0.7368113355851549,0.7384615384615385,0.6014619883040936,0.5906432748538011,0.6339181286549709,0.6140350877192983,0.6666666666666666,0.554093567251462,0.7384615384615385,0.6491228070175439,0.6666666666666666,0.45614035087719296,0.7887323943661971,0.5906432748538011,0.8235294117647058,0.7573099415204678,4,5,10,28
